group;time;particles;sd;se;ci;carbon;sdc;sec;cic
Host control;0 to 1;1864860;1391024;983602.6388;1927825.747;6.0;NA;NA;NA
Host control;1 to 2;3202668;26130;18477.03802;36214.32905;101.0;81;46.58670349;91.308261
Host control;2 to 3;3766429;3119938;1801296.768;3530476.791;36.8;NA;NA;NA
Treatment;0 to 1;1767743;2268960;1604397.22;3144560.767;314.9;323;228.2422192;447.3465294
Treatment;1 to 2;4039185;1019184;720671.8882;1412490.945;38.7;NA;NA;NA
Treatment;2 to 3;3282168;1851687;1309340.648;2566260.514;73.3;49;34.869765;68.34348356
